Gas_below_50,"['BISHOP', 'ALEDO', 'LEWSIVILLE', 'MONTBELVIEU', 'HOUSTON_9', 'HOUSTON_11']"
Gas_50_100,"['ODESSA', 'GREENVILLE']"
Gas_100_200,"['DENTON', 'NEWGULF', 'CHANNELVIEW_15', 'LAPORTE_16']"
Gas_200_300,"['ODESSA_3', 'PEARSALL', 'NURSERY', 'LAREDO', 'SANANTONIO', 'WINCHESTER', 'BRYAN']"
Gas_300_400,['DALLAS_5']
Gas_400_600,"['SILVER', 'MISSION', 'VICTORIA', 'WHARTON', 'ENNIS', 'FREEPORT', 'HOUSTON_13', 'WILLIS']"
Gas_600_800,"['GRAHAM', 'PALOPINTO', 'CEDARCREEK', 'CORPUSCHRISTI', 'POOLVILLE', 'PASADENA_10', 'HOUSTON_12']"
Gas_800_1000,"['SHERMAN', 'MTENTERPRISE', 'GREGORY', 'TEMPLE', 'DALLAS_6', 'SEGUIN', 'NEWBRAUNFELS', 'HOUSTON', 'BAYTOWN', 'SHIRO']"
Gas_ovr_1000,"['GRANBURY', 'ODESSA_2', 'MONAHANS', 'SAVOY', 'PARIS', 'BASTROP', 'MARION', 'POINTCOMFORT', 'BROWNSVILLE', 'CORPUSCHRISTI_4', 'DALLAS', 'ARLINGTON', 'BRIDGEPORT', 'MCKINNEY', 'MIDLOTHIAN', 'SANANTONIO_7', 'ELMENDORF', 'PASADENA', 'DEERPARK', 'CHANNELVIEW', 'HOUSTON_8', 'ALVIN', 'LAPORTE', 'BAYTOWN_14', 'THOMPSONS', 'FREEPORT_17', 'FAIRFIELD']"
Gas_All_n_0_100,"['ODESSA', 'GREENVILLE', 'BISHOP', 'ALEDO', 'LEWSIVILLE', 'MONTBELVIEU', 'HOUSTON_9', 'HOUSTON_11']"
Gas_All_n_100_200,"['DENTON', 'NEWGULF', 'CHANNELVIEW_15', 'LAPORTE_16']"
Gas_All_n_ovr_200,"['SILVER', 'GRAHAM', 'GRANBURY', 'PALOPINTO', 'ODESSA_2', 'MONAHANS', 'ODESSA_3', 'SAVOY', 'SHERMAN', 'PARIS', 'MTENTERPRISE', 'BASTROP', 'MARION', 'CEDARCREEK', 'MISSION', 'PEARSALL', 'NURSERY', 'VICTORIA', 'POINTCOMFORT', 'WHARTON', 'LAREDO', 'BROWNSVILLE', 'GREGORY', 'CORPUSCHRISTI', 'CORPUSCHRISTI_4', 'DALLAS', 'ENNIS', 'DALLAS_5', 'ARLINGTON', 'POOLVILLE', 'BRIDGEPORT', 'MCKINNEY', 'MIDLOTHIAN', 'TEMPLE', 'DALLAS_6', 'SANANTONIO', 'WINCHESTER', 'SANANTONIO_7', 'SEGUIN', 'ELMENDORF', 'NEWBRAUNFELS', 'PASADENA', 'DEERPARK', 'CHANNELVIEW', 'HOUSTON', 'HOUSTON_8', 'BAYTOWN', 'FREEPORT', 'ALVIN', 'LAPORTE', 'PASADENA_10', 'HOUSTON_12', 'HOUSTON_13', 'WILLIS', 'SHIRO', 'BAYTOWN_14', 'THOMPSONS', 'FREEPORT_17', 'FAIRFIELD', 'BRYAN']"
Coal_below_50,['IRVING']
Coal_50_100,[]
Coal_100_200,[]
Coal_200_300,"['SANTAROSA', 'TRINIDAD']"
Coal_300_400,['BREMOND']
Coal_400_600,['CHRISTINE']
Coal_600_800,"['FANNIN', 'JACKSONVILLE']"
Coal_800_1000,['WICHITAFALLS']
Coal_ovr_1000,"['MOUNTPLEASANT', 'RIESEL', 'ROCKDALE', 'FRANKLIN', 'LAGRANGE', 'JEWETT', 'FAIRFIELD_18']"
Coal_All_n_0_100,['IRVING']
Coal_All_n_100_200,[]
Coal_All_n_ovr_200,"['WICHITAFALLS', 'MOUNTPLEASANT', 'CHRISTINE', 'FANNIN', 'SANTAROSA', 'RIESEL', 'ROCKDALE', 'FRANKLIN', 'BREMOND', 'LAGRANGE', 'JEWETT', 'FAIRFIELD_18', 'JACKSONVILLE', 'TRINIDAD']"
